experiment_id,scenario_id,n,beta_name,err_dist,contamination,contam_scale,heterosked,tau,loss,k_param,c_param,n_reps,mean_bias,mean_mse,mean_mae,mean_time,conv_rate,mean_iter,mcse_bias,mcse_mse,mcse_mae,mcse_conv,mcse_time,mcse_iter,bias_precision,conv_precision,overall_precision
5814,59,500,intermediate,normal,0.2,10,none,0.25,qhuber,2,NA,1000,0.022280166147473045,0.013204485812877195,0.09142190377302993,0.004014546155929565,1,19.404,6.118053931751093e-4,1.7889037356380076e-4,7.154280291147932e-4,0,3.8686320261171446e-5,0.0481778486973537,Excellent,Excellent,Adequate
14462,59,500,intermediate,normal,0.2,10,none,0.5,logcosh,NA,1,1000,3.592610294726209e-5,0.005896679162897398,0.06102361440863234,0.005582558870315552,1,16.443,5.023661784337596e-4,1.1127782700816139e-4,5.936738997730323e-4,0,5.91209313890128e-5,0.03842170255503037,Excellent,Excellent,Adequate
5822,59,500,intermediate,normal,0.2,10,none,0.5,qhuber,2,NA,1000,6.706604027745278e-4,0.006052237132532854,0.06204752438155778,0.0032646472454071047,1,16.803,4.998459861788636e-4,1.1491496633053247e-4,6.037026078691861e-4,0,2.9877404356886962e-5,0.03869998305798968,Excellent,Excellent,Adequate
14463,59,500,intermediate,normal,0.2,10,none,0.5,logcosh,NA,2,1000,2.7683768003956025e-4,0.006175174540821227,0.06277823500500779,0.005900937795639038,1,17.165,4.870782138437395e-4,1.1469126321705052e-4,5.973615856006058e-4,0,5.63785966187426e-5,0.04041544764577535,Excellent,Excellent,Adequate
5829,59,500,intermediate,normal,0.2,10,none,0.75,qhuber,1,NA,1000,-0.0030860723634551185,0.010226656640472271,0.08014550637444331,0.00357558012008667,1,18.538,6.161042712962383e-4,1.879194158391121e-4,7.619640901441012e-4,0,3.571803008170105e-5,0.046007311078487004,Excellent,Excellent,Adequate
5828,59,500,intermediate,normal,0.2,10,none,0.75,qhuber,0.5,NA,1000,0.008271627511738081,0.011025397369764689,0.08387593372781606,0.0036886539459228514,1,19.668,6.450217221191631e-4,2.1206911424645966e-4,8.348224649067894e-4,0,3.614920044221359e-5,0.05363443532519619,Excellent,Excellent,Adequate
5827,59,500,intermediate,normal,0.2,10,none,0.75,qhuber,0.2,NA,1000,0.017116417989626872,0.01309699394788797,0.09145152788429319,0.003907593488693237,1,22.103,6.718983866414628e-4,2.393956609101032e-4,8.657696411675437e-4,0,3.532932165718653e-5,0.06496623439612005,Excellent,Excellent,Adequate
5840,59,500,intermediate,normal,0.2,10,none,0.9,qhuber,10,NA,1000,-0.03444827765382434,0.07983953591919808,0.2233400166062307,0.0031331262588500976,1,15.565,0.0016902641900656203,0.0015360668247380057,0.002089429822217682,0,3.0314855501009533e-5,0.0372446259500906,Excellent,Excellent,Adequate
5839,59,500,intermediate,normal,0.2,10,none,0.9,qhuber,3,NA,1000,0.044961789226977904,0.15457172222737128,0.29614264567003584,0.003917343139648437,1,20.505,0.0025623309761503947,0.005347063565118945,0.004574631185084034,0,3.568600606063482e-5,0.06504002771528626,Excellent,Excellent,Adequate
5838,59,500,intermediate,normal,0.2,10,none,0.9,qhuber,2,NA,1000,0.07695263721249376,0.20851163975338136,0.3406557981853224,0.0044361653327941895,1,23.783,0.002818087311024513,0.006981274386548648,0.005323476069530484,0,4.751200395892233e-5,0.09336288142312034,Excellent,Excellent,Adequate
